Mes - Año,viajes,toneladas
2025-01,6759,99381.4
2025-02,6874,100984.1
2025-03,7025,102504.6
2025-04,6735,100841.6
2025-05,7521,112844.4
2025-06,6304,90704.2
2025-07,7832,117217.7
2025-08,7541,111866.6
2025-09,8301,121155.1
2025-10,8322,123240.0
2025-11,7817,118443.1
2025-12,6829,100579.2
2026-01,7085,103663.4
2026-02,7220,104867.2
2026-03,8019,113582.3
2026-04,7376,106570.7
2026-05,7454,107395.7
2026-06,6962,100741.7
