modelo,MAE,RMSE,MAPE,WAPE,R2,n
Regresión Múltiple (OLS),29.64,36.9,23.12,12.2,0.89,98
Random Forest,30.15,40.06,42.78,12.41,0.87,98
XGBoost,30.93,39.83,77.7,12.74,0.88,98
Gradient Boosting,32.99,41.78,79.54,13.58,0.86,98
Árbol de Decisión,33.43,46.57,47.64,13.76,0.83,98
Prophet,33.55,42.98,94.81,13.81,0.86,98
"SARIMA (1,0,1)(1,1,1)7",53.3,80.4,356.45,21.95,0.49,98
Regresión Lineal (tendencia),74.6,95.56,432.8,30.72,0.29,98
"ARIMA (2,1,2)",90.27,112.65,413.21,37.17,0.01,98
