modelo,MAE,RMSE,MAPE,WAPE,R2,n
Regresión Múltiple (OLS),120.36,154.76,10.07,7.4,0.83,16
Gradient Boosting,170.07,294.95,25.78,10.46,0.4,16
XGBoost,173.4,292.44,25.62,10.66,0.41,16
Random Forest,197.47,326.07,28.65,12.14,0.26,16
Prophet,246.15,403.93,33.91,15.13,-0.13,16
Árbol de Decisión,252.1,364.42,32.51,15.5,0.08,16
"ARIMA (2,1,2)",256.03,399.07,35.52,15.74,-0.11,16
Regresión Lineal (tendencia),259.45,422.13,37.51,15.95,-0.24,16
"SARIMA (1,0,1)(1,1,1)52",779.08,2017.41,59.1,47.9,-27.29,16
