PLACA,viajes,toneladas,dias_activos,corredores,flota,tipologia,viajes_mes,meses_activos,estabilidad,indice_utilizacion
AEB126,28,431.745,27,19,Terceros,DOBLETROQUE,1.56,14,0.78,0.21
AEC219,151,1368.1,146,10,Terceros,SENCILLO,8.43,11,0.61,1.12
AHE170,235,2112.452,223,23,Terceros,SENCILLO,13.13,17,0.94,1.5
AHJ869,95,693.868,95,47,Terceros,SENCILLO,5.31,18,1.0,0.7
AJE379,329,2854.005,313,13,Terceros,SENCILLO,18.38,18,1.0,1.5
AQD180,326,2931.166,315,16,Terceros,SENCILLO,18.21,18,1.0,1.5
ASE676,68,529.213,67,36,Terceros,SENCILLO,3.8,18,1.0,0.5
ASF015,2,17.101999999999997,2,2,Empresas,SENCILLO,0.11,2,0.11,0.01
ATA007,209,1839.585,201,19,Terceros,SENCILLO,11.67,17,0.94,1.5
ATA619,201,1800.584,179,18,Terceros,SENCILLO,11.23,14,0.78,1.49
AUN944,121,1085.746,117,8,Terceros,SENCILLO,6.76,8,0.44,0.9
AUP035,165,1411.423,150,55,Terceros,SENCILLO,9.22,18,1.0,1.22
BAG935,340,2970.647,328,25,Terceros,SENCILLO,18.99,18,1.0,1.5
BAU353,1,9.091,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
BBJ015,129,1110.647,123,54,Terceros,SENCILLO,7.21,16,0.89,0.96
BBJ428,51,204.569,48,10,Empresas,TURBO,2.85,12,0.67,0.38
BBX064,71,1010.616,52,8,Terceros,DOBLETROQUE,3.97,5,0.28,0.53
BEP095,24,375.63,24,23,Terceros,DOBLETROQUE,1.34,15,0.83,0.18
BEP294,51,807.827,51,7,Terceros,DOBLETROQUE,2.85,16,0.89,0.38
BGW222,3,91.89,3,1,Empresas,TRACTOMULA,0.17,3,0.17,0.02
BUD916,75,1088.972,73,36,Terceros,DOBLETROQUE,4.19,18,1.0,0.56
CHG502,274,2491.387,268,20,Terceros,SENCILLO,15.3,18,1.0,1.5
CHJ646,25,205.56,25,17,Terceros,SENCILLO,1.4,13,0.72,0.19
CIG551,35,552.696,35,28,Terceros,DOBLETROQUE,1.95,10,0.56,0.26
CRV962,36,158.591,36,9,Terceros,TURBO,2.01,4,0.22,0.27
CRY065,7,27.929000000000002,7,4,Empresas,TURBO,0.39,5,0.28,0.05
CRZ700,1,4.0,1,1,Empresas,TURBO,0.06,1,0.06,0.01
CSC335,32,62.566,31,11,Terceros,TURBO,1.79,7,0.39,0.24
DUD481,1,31.2,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
DWR075,55,1420.079,49,7,Empresas,TRACTOMULA,3.07,11,0.61,0.41
ELD049,5,60.208,5,3,Empresas,DOBLETROQUE,0.28,5,0.28,0.04
ELD989,13,207.14999999999998,13,9,Terceros,DOBLETROQUE,0.73,4,0.22,0.1
EQO020,1,8.982,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQO449,44,273.974,44,25,Terceros,SENCILLO,2.46,15,0.83,0.33
EQO923,2,9.526,2,1,Empresas,SENCILLO,0.11,1,0.06,0.01
EQP080,1,1.0,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQP365,1,8.874,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQP626,1,0.218,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQP968,8,93.021,8,4,Empresas,TRACTOMULA,0.45,4,0.22,0.06
EQQ154,180,234.0,112,6,Terceros,TURBO,10.05,6,0.33,1.33
EQQ352,2,3.6,2,1,Terceros,TURBO,0.11,2,0.11,0.01
EQR024,124,850.051,117,20,Terceros,SENCILLO,6.93,18,1.0,0.92
EQR203,1,6.484,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EQR825,1,4.145,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQT941,1,4.205,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQW783,1,4.631,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EQX365,3,7.558,3,3,Terceros,TURBO,0.17,1,0.06,0.02
EQY310,1,29.867,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EQZ693,1,8.8,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK479,1,3.852,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERK509,1,5.863,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK510,1,6.684,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERK762,15,246.869,15,9,Terceros,DOBLETROQUE,0.84,5,0.28,0.11
ERL023,1,3.996,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERL279,1,4.09,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ERL463,1,3.933,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ERL644,50,245.493,50,17,Terceros,SENCILLO,2.79,17,0.94,0.37
ERL995,6,124.338,4,5,Empresas,TRACTOMULA,0.34,2,0.11,0.05
ESK487,1,3.721,1,1,Terceros,TURBO,0.06,1,0.06,0.01
ESP748,6,12.578,6,6,Terceros,TURBO,0.34,2,0.11,0.05
ESP772,55,1868.0,47,21,Terceros,TRACTOMULA,3.07,12,0.67,0.41
ESP851,51,326.599,43,9,Terceros,SENCILLO,2.85,5,0.28,0.38
ESP971,128,630.358,80,21,Terceros,TURBO,7.15,6,0.33,0.95
ESQ170,35,1179.406,34,17,Terceros,TRACTOMULA,1.95,14,0.78,0.26
ESQ429,1,4.299,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ESQ682,72,1678.922,71,20,Terceros,TRACTOMULA,4.02,18,1.0,0.53
ESQ683,1,29.257,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESQ778,22,84.882,22,10,Terceros,TURBO,1.23,7,0.39,0.16
ESQ826,1,11.943,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
ESQ907,918,1331.344,209,5,Empresas,SENCILLO,51.27,15,0.83,1.5
ESR324,24,399.296,24,4,Empresas,TRACTOMULA,1.34,13,0.72,0.18
ESR401,68,2303.169,64,29,Terceros,TRACTOMULA,3.8,18,1.0,0.5
ESS419,20,57.965,20,14,Terceros,TURBO,1.12,9,0.5,0.15
ESS947,1,12.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EST050,44,690.881,44,23,Terceros,DOBLETROQUE,2.46,17,0.94,0.33
EST489,37,575.496,37,22,Terceros,DOBLETROQUE,2.07,17,0.94,0.27
EST534,1,5.476,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EST570,17,66.344,17,7,Terceros,TURBO,0.95,5,0.28,0.13
EST881,58,900.558,57,27,Terceros,DOBLETROQUE,3.24,18,1.0,0.43
EST919,1,31.539,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EST986,1,1.389,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EST988,2,25.768,2,2,Empresas,TRACTOMULA,0.11,1,0.06,0.01
ESU030,1,7.882,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESU116,2,50.3,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ESU257,1,15.616,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
ESU464,2,66.463,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ESU465,1,33.167,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESU466,3,96.96000000000001,3,3,Empresas,TRACTOMULA,0.17,3,0.17,0.02
ESV133,1,30.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ESX766,110,2484.34,23,1,Empresas,TRACTOMULA,6.14,4,0.22,0.81
ESX805,1,16.153,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
ESY126,3,55.760999999999996,3,1,Empresas,TRACTOMULA,0.17,3,0.17,0.02
ESY140,1,3.057,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ESY207,3,97.32499999999999,3,2,Empresas,TRACTOMULA,0.17,3,0.17,0.02
ESY220,2,2.44,2,2,Empresas,TURBO,0.11,2,0.11,0.01
ESY246,2,59.925,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ESY311,1,3.8,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ESY470,2,8.372,2,2,Empresas,TURBO,0.11,2,0.11,0.01
ESY520,19,59.602000000000004,19,13,Terceros,TURBO,1.06,5,0.28,0.14
ESZ105,1,8.662,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ESZ161,2,7.683,2,2,Empresas,SENCILLO,0.11,2,0.11,0.01
ETK591,1,27.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
ETL013,1,7.943,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ETL271,1,3.642,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ETL288,1,1.576,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ETL296,1,3.154,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
ETM912,2,62.442,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
ETT318,1,2.836,1,1,Terceros,SENCILLO,0.06,1,0.06,0.01
ETT793,1,3.96,1,1,Empresas,TURBO,0.06,1,0.06,0.01
ETT808,59,889.929,58,20,Terceros,DOBLETROQUE,3.3,18,1.0,0.44
ETT918,1,32.292,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EWJ062,222,2005.413,220,13,Terceros,SENCILLO,12.4,15,0.83,1.5
EXU170,19,132.025,19,12,Terceros,SENCILLO,1.06,10,0.56,0.14
EXU549,8,30.956,8,5,Empresas,TURBO,0.45,4,0.22,0.06
EXU564,1,9.0,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EXU742,1,2.713,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EXV015,1,1.503,1,1,Terceros,TURBO,0.06,1,0.06,0.01
EXV028,1,25.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EXV496,1,16.467,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
EXX287,16,68.535,16,13,Terceros,TURBO,0.89,8,0.44,0.12
EXZ217,1,1.31,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EXZ609,1,1.152,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EXZ714,230,1966.629,201,36,Terceros,SENCILLO,12.85,17,0.94,1.5
EXZ787,19,139.424,19,8,Terceros,SENCILLO,1.06,10,0.56,0.14
EYX072,1,0.37,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EYX555,12,47.795,12,11,Terceros,TURBO,0.67,3,0.17,0.09
EYX842,16,96.201,16,10,Terceros,SENCILLO,0.89,4,0.22,0.12
EYY020,42,337.251,42,23,Terceros,SENCILLO,2.35,14,0.78,0.31
EYY285,1,3.463,1,1,Empresas,TURBO,0.06,1,0.06,0.01
EYY342,1,0.384,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
EYY469,4,128.829,4,3,Empresas,TRACTOMULA,0.22,3,0.17,0.03
EYY624,29,111.202,29,8,Terceros,TURBO,1.62,16,0.89,0.21
EYY637,5,37.352000000000004,5,5,Terceros,SENCILLO,0.28,3,0.17,0.04
EYZ687,1,8.999,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
EZK030,1,6.516,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
FAI488,65,1009.624,62,26,Terceros,DOBLETROQUE,3.63,6,0.33,0.48
FBI860,149,1336.68,134,20,Terceros,SENCILLO,8.32,14,0.78,1.1
FCH140,24,206.115,24,10,Terceros,SENCILLO,1.34,3,0.17,0.18
FEA653,1,34.5,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
FEB323,1,15.996,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
FLE361,52,467.712,50,12,Terceros,SENCILLO,2.9,7,0.39,0.38
FNL710,1,29.076,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
FNL721,6,160.025,6,5,Empresas,TRACTOMULA,0.34,6,0.33,0.05
FPX532,2,14.928,2,2,Empresas,SENCILLO,0.11,2,0.11,0.01
FPX538.,2,15.119,2,2,Empresas,SENCILLO,0.11,1,0.06,0.01
FSQ668,42,1268.089,40,32,Terceros,TRACTOMULA,2.35,16,0.89,0.31
FSQ768,25,373.507,24,17,Terceros,DOBLETROQUE,1.4,16,0.89,0.19
FSQ787,1,3.831,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
FSQ825,1,8.573,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
FSQ826,2,47.711999999999996,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
FST886,5,16.672,5,4,Empresas,TURBO,0.28,4,0.22,0.04
FSU021,1,31.910999999999998,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
FSU356,1,20.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
FSU513,2,66.024,2,2,Empresas,TRACTOMULA,0.11,1,0.06,0.01
FSV031,7,113.225,7,4,Terceros,DOBLETROQUE,0.39,4,0.22,0.05
FSV035,16,256.02,16,11,Terceros,DOBLETROQUE,0.89,9,0.5,0.12
FSV232,53,803.148,50,22,Terceros,DOBLETROQUE,2.96,11,0.61,0.39
FSV317,56,476.832,56,39,Terceros,SENCILLO,3.13,16,0.89,0.42
FSV344,21,225.185,21,5,Empresas,TRACTOMULA,1.17,12,0.67,0.16
FSV381,1,16.153,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
FSV588,1,31.502,1,1,Terceros,TRACTOMULA,0.06,1,0.06,0.01
FSV699,16,188.418,16,2,Empresas,TRACTOMULA,0.89,7,0.39,0.12
FSV971,2,63.41,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
FSV972,2,69.0,2,1,Empresas,TRACTOMULA,0.11,1,0.06,0.01
FSW005,2,64.376,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
FUJ639,69,1029.976,67,34,Terceros,DOBLETROQUE,3.85,16,0.89,0.51
FWK687,1,0.54,1,1,Empresas,TURBO,0.06,1,0.06,0.01
FXY308,4,114.45400000000001,4,3,Empresas,TRACTOMULA,0.22,4,0.22,0.03
FXY313,3,81.731,3,3,Empresas,TRACTOMULA,0.17,3,0.17,0.02
FXY464,1,32.985,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
FXY465,2,69.0,2,1,Empresas,TRACTOMULA,0.11,2,0.11,0.01
FXY469,10,276.343,10,8,Empresas,TRACTOMULA,0.56,7,0.39,0.07
FXY592,11,294.316,11,7,Empresas,TRACTOMULA,0.61,7,0.39,0.08
GCJ385,279,2477.122,273,12,Terceros,SENCILLO,15.58,18,1.0,1.5
GDW264,1,28.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDW402,1,31.77,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDW843,3,60.689,3,2,Empresas,TRACTOMULA,0.17,2,0.11,0.02
GDW844,1,17.045,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDW976,1,18.968,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDW989,1,20.148,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDX030,25,371.2,25,6,Empresas,TRACTOMULA,1.4,17,0.94,0.19
GDX189,58,223.745,58,12,Terceros,TURBO,3.24,18,1.0,0.43
GDX195,4,79.513,4,4,Empresas,TRACTOMULA,0.22,2,0.11,0.03
GDX221,81,628.855,80,21,Terceros,SENCILLO,4.52,18,1.0,0.6
GDX229,8,122.036,8,7,Terceros,DOBLETROQUE,0.45,3,0.17,0.06
GDX504,1,6.7,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDX515,1,17.893,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDX724,3,46.225,3,2,Empresas,TRACTOMULA,0.17,3,0.17,0.02
GDX735,79,2089.464,76,40,Terceros,TRACTOMULA,4.41,18,1.0,0.58
GDX825,3,102.0,2,3,Empresas,TRACTOMULA,0.17,2,0.11,0.02
GDX836,77,289.599,76,19,Terceros,TURBO,4.3,18,1.0,0.57
GDX881,1,29.895,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDX916,3,48.728,3,3,Empresas,DOBLETROQUE,0.17,3,0.17,0.02
GDX941,36,1149.881,35,14,Terceros,TRACTOMULA,2.01,11,0.61,0.27
GDX942,1,16.759999999999998,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDX977,1,2.291,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GDY087,41,1226.176,40,28,Terceros,TRACTOMULA,2.29,15,0.83,0.3
GDY134,1,32.43900000000001,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDY252,71,2038.1390000000001,69,33,Terceros,TRACTOMULA,3.97,18,1.0,0.53
GDY276,111,2224.217,108,13,Terceros,TRACTOMULA,6.2,18,1.0,0.82
GDY293,109,2734.314,107,43,Terceros,TRACTOMULA,6.09,18,1.0,0.81
GDY306,22,82.584,22,4,Terceros,TURBO,1.23,8,0.44,0.16
GDY310,17,126.624,17,10,Terceros,SENCILLO,0.95,10,0.56,0.13
GDY397,6,156.487,6,4,Terceros,TRACTOMULA,0.34,4,0.22,0.05
GDY405,27,477.87100000000004,27,5,Empresas,TRACTOMULA,1.51,14,0.78,0.2
GDY478,5,15.733,5,4,Terceros,TURBO,0.28,4,0.22,0.04
GDY491,33,122.922,32,20,Terceros,TURBO,1.84,7,0.39,0.24
GDY506,1,16.671,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDY714,1,34.5,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GDY792,85,1368.359,85,27,Terceros,DOBLETROQUE,4.75,18,1.0,0.63
GDY915,2,29.636000000000003,2,1,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GDZ035,6,9.997,6,6,Terceros,CAMIONETA,0.34,3,0.17,0.05
GDZ142,1,4.321,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GDZ212,1,8.194000000000003,1,1,Terceros,SENCILLO,0.06,1,0.06,0.01
GEN-C2-4.5-C-NAC,3,6.902,3,3,Empresas,TURBO,0.17,2,0.11,0.02
GES521,1,18.298,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GES836,9,49.846000000000004,9,9,Terceros,SENCILLO,0.5,4,0.22,0.07
GEU343,3,14.102,3,3,Empresas,SENCILLO,0.17,3,0.17,0.02
GEU739,8,67.66,8,2,Empresas,TRACTOMULA,0.45,4,0.22,0.06
GEV049,1,12.838,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GEV220,20,657.67,20,12,Terceros,TRACTOMULA,1.12,5,0.28,0.15
GFP739,1,1.411,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GFP924,9,9.29,5,1,Empresas,SENCILLO,0.5,1,0.06,0.07
GFP960,50,177.475,47,18,Terceros,TURBO,2.79,4,0.22,0.37
GFQ652,1,3.023,1,1,Empresas,TURBO,0.06,1,0.06,0.01
GHU151,1,18.263,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GHU175,63,520.167,63,34,Terceros,SENCILLO,3.52,18,1.0,0.47
GHU241,1,32.114,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GHU245,26,793.43,26,16,Terceros,TRACTOMULA,1.45,14,0.78,0.19
GHU251,3,90.272,3,3,Empresas,TRACTOMULA,0.17,3,0.17,0.02
GHU262,1,31.802,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GHU283,8,123.16399999999999,8,8,Terceros,DOBLETROQUE,0.45,4,0.22,0.06
GHU292,2,66.21600000000001,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GHU311,6,50.955,6,5,Terceros,SENCILLO,0.34,4,0.22,0.05
GHU349,4,131.9,4,3,Empresas,TRACTOMULA,0.22,3,0.17,0.03
GIL663,3,103.5,3,2,Empresas,TRACTOMULA,0.17,3,0.17,0.02
GIL741,5,172.5,5,2,Empresas,TRACTOMULA,0.28,4,0.22,0.04
GIL829,1,5.127,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GIL830,7,222.488,7,2,Empresas,TRACTOMULA,0.39,5,0.28,0.05
GIL830.,1,32.714,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GIL854,10,345.0,10,2,Empresas,TRACTOMULA,0.56,6,0.33,0.07
GIL866,3,103.5,3,1,Empresas,TRACTOMULA,0.17,3,0.17,0.02
GIM115,1,28.678,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GIM222,2,11.3,2,2,Terceros,SENCILLO,0.11,2,0.11,0.01
GIM441,5,45.102999999999994,5,4,Terceros,SENCILLO,0.28,5,0.28,0.04
GIM450,35,1100.459,35,10,Empresas,TRACTOMULA,1.95,14,0.78,0.26
GIM683,1,2.352,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GIM689,1,3.6140000000000003,1,1,Terceros,TURBO,0.06,1,0.06,0.01
GIM820,10,73.008,10,5,Terceros,SENCILLO,0.56,7,0.39,0.07
GKV320,249,115.747,237,9,Terceros,CAMIONETA,13.91,18,1.0,1.5
GKV424,2,58.006,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GKV484,1,8.991,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GPA390,3,27.948999999999998,3,2,Terceros,SENCILLO,0.17,1,0.06,0.02
GPJ518,66,1032.357,66,7,Terceros,SENCILLO,3.69,7,0.39,0.49
GQD666,8,111.0,8,3,Empresas,DOBLETROQUE,0.45,4,0.22,0.06
GQT892,1,16.476,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
GQU003,3,65.41,2,2,Empresas,TRACTOMULA,0.17,2,0.11,0.02
GQU165,25,214.239,25,16,Terceros,SENCILLO,1.4,12,0.67,0.19
GQU886,1,6.362,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQU899,2,16.781,2,2,Empresas,SENCILLO,0.11,2,0.11,0.01
GQU907,11,91.825,10,8,Empresas,SENCILLO,0.61,7,0.39,0.08
GQU964,1,2.694,1,1,Empresas,TURBO,0.06,1,0.06,0.01
GQU9O7,1,8.089,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQV075,3,20.96,3,3,Empresas,SENCILLO,0.17,2,0.11,0.02
GQV191,1,7.991,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQV192,2,30.551000000000002,2,2,Empresas,DOBLETROQUE,0.11,2,0.11,0.01
GQV433,4,132.464,4,2,Empresas,TRACTOMULA,0.22,4,0.22,0.03
GQV522,1,7.3,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQV604,1,9.07,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQV695,3,25.289,3,2,Empresas,SENCILLO,0.17,2,0.11,0.02
GQV953,1,3.0,1,1,Empresas,TURBO,0.06,1,0.06,0.01
GQV955,1,7.872000000000001,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQW100,1,3.9370000000000003,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQW196,1,9.056999999999999,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQW424,1,14.017,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GQW465,1,7.301,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQW516,21,166.59,21,18,Terceros,SENCILLO,1.17,11,0.61,0.16
GQW583,1,8.009,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GQW703,1,4.932,1,1,Terceros,SENCILLO,0.06,1,0.06,0.01
GQZ693,1,7.438,1,1,Terceros,SENCILLO,0.06,1,0.06,0.01
GQZ694,4,19.467,4,3,Empresas,SENCILLO,0.22,3,0.17,0.03
GQZ774,2,32.877,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GQZ826,27,132.546,27,9,Empresas,SENCILLO,1.51,11,0.61,0.2
GRK320,1,31.164,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GRT813,1,31.223,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GRT844,1,31.112,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GSM102,81,2231.386,81,20,Flota Propia,TRACTOMULA,4.52,18,1.0,0.6
GSM219,77,672.0459999999999,77,26,Terceros,SENCILLO,4.3,18,1.0,0.57
GSM246,10,303.23199999999997,10,5,Empresas,TRACTOMULA,0.56,6,0.33,0.07
GSM247,7,226.505,7,5,Empresas,TRACTOMULA,0.39,6,0.33,0.05
GSM300,59,492.675,59,31,Terceros,SENCILLO,3.3,18,1.0,0.44
GSM324,2,54.09,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GSM355,2,8.0,2,2,Terceros,TURBO,0.11,2,0.11,0.01
GSM372,1,8.375,1,1,Empresas,DOBLETROQUE,0.06,1,0.06,0.01
GSM388,4,135.252,4,2,Empresas,TRACTOMULA,0.22,4,0.22,0.03
GTM269,1,4.237,1,1,Empresas,TURBO,0.06,1,0.06,0.01
GTU476,12,93.59700000000001,12,8,Terceros,SENCILLO,0.67,4,0.22,0.09
GTU874,1,9.0,1,1,Terceros,SENCILLO,0.06,1,0.06,0.01
GTW905,97,2114.992,96,12,Terceros,TRACTOMULA,5.42,18,1.0,0.72
GTW906,3,76.078,3,3,Empresas,TRACTOMULA,0.17,2,0.11,0.02
GTW909,5,172.5,5,1,Empresas,TRACTOMULA,0.28,4,0.22,0.04
GTW936,41,311.491,40,13,Terceros,SENCILLO,2.29,14,0.78,0.3
GTX282,20,79.477,20,9,Terceros,TURBO,1.12,6,0.33,0.15
GTX699,5,138.998,5,4,Terceros,TRACTOMULA,0.28,4,0.22,0.04
GTX959,2,63.715,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GTY022,10,157.09,10,8,Empresas,DOBLETROQUE,0.56,8,0.44,0.07
GTY113,6,33.954,6,5,Empresas,SENCILLO,0.34,6,0.33,0.05
GTY187,1,18.891,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GTY275,27,892.288,27,19,Terceros,TRACTOMULA,1.51,12,0.67,0.2
GTY555,63,2061.18,61,28,Terceros,TRACTOMULA,3.52,18,1.0,0.47
GTY874,4,132.019,4,2,Empresas,TRACTOMULA,0.22,3,0.17,0.03
GTY966,1,4.277,1,1,Empresas,TURBO,0.06,1,0.06,0.01
GTY967,110,3376.934,107,42,Terceros,TRACTOMULA,6.14,17,0.94,0.81
GUQ344,2,48.559,2,2,Empresas,TRACTOMULA,0.11,2,0.11,0.01
GUQ345,1,32.789,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GUQ366,12,102.47,12,9,Terceros,SENCILLO,0.67,9,0.5,0.09
GUQ615,3,63.345,2,2,Empresas,TRACTOMULA,0.17,2,0.11,0.02
GUR017,1,8.51,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GUR072,9,192.256,9,7,Terceros,TRACTOMULA,0.5,6,0.33,0.07
GUR114,1,2.349,1,1,Empresas,SENCILLO,0.06,1,0.06,0.01
GUR125,257,600.746,245,13,Terceros,TURBO,14.35,17,0.94,1.5
GUR137,1,28.349999999999998,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GUR215,1,18.0,1,1,Empresas,TRACTOMULA,0.06,1,0.06,0.01
GUR256,8,128.275,8,4,Empresas,TRACTOMULA,0.45,6,0.33,0.06
GUR257,5,80.84299999999999,5,1,Empresas,TRACTOMULA,0.28,3,0.17,0.04
GUR258,3,41.427,3,1,Empresas,TRACTOMULA,0.17,3,0.17,0.02
GUR599,4,43.849999999999994,4,1,Empresas,TRACTOMULA,0.22,4,0.22,0.03
GUR714,324,490.037,304,8,Terceros,TURBO,18.1,18,1.0,1.5
