corredor,viajes,toneladas,ton_prom,cv_mensual_%,tendencia_mes,crecimiento_%
SOPO -> SOGAMOSO,158,1976.637,12.51036075949367,45.8,-0.36,-73.8
MADRID -> NEIVA,158,1574.993,9.968310126582278,41.1,0.24,49.2
SABANETA -> LA ESTRELLA,157,1821.549,11.602222929936305,40.8,-0.41,-84.6
SOPO -> ITAGUI,155,2244.015,14.477516129032256,57.7,0.55,115.0
YUMBO -> BUENAVENTURA,155,2763.067,17.82623870967742,35.9,0.21,43.9
SABANAGRANDE -> TURBACO,155,990.251,6.388716129032258,21.9,-0.06,-12.5
BUENAVENTURA -> BOGOTA D.C.,151,3979.797,26.35627152317881,113.8,0.32,68.7
SOPO -> BARBOSA,150,1805.833,12.038886666666667,23.3,0.21,45.4
SOACHA -> NEIVA,149,2603.65,17.474161073825503,25.8,0.25,54.4
RIONEGRO -> BUCARAMANGA,146,1908.267,13.07032191780822,15.8,-0.03,-6.7
SABANETA -> LA CEJA,146,1562.465,10.70181506849315,25.3,0.02,4.4
MADRID -> TENA,146,1395.0,9.554794520547945,39.2,-0.14,-31.1
RIONEGRO -> MANIZALES,144,2197.916,15.263305555555556,30.9,0.1,22.5
SABANAGRANDE -> MALAMBO,144,2745.263,19.064326388888887,37.9,0.22,49.5
GIRARDOTA -> SOPO,143,1922.538,13.444321678321678,35.2,0.07,15.9
RIONEGRO -> BELLO,141,777.101,5.511354609929078,33.1,0.08,18.4
SOPO -> TOCANCIPA,141,1324.829,9.395950354609928,33.1,0.0,0.0
RIONEGRO -> SABANAGRANDE,141,3195.392,22.66235460992908,24.1,-0.03,-6.9
MADRID -> ARMENIA,139,1832.549,13.183805755395683,40.9,0.45,104.9
BUENAVENTURA -> SABANETA,139,2563.386,18.441625899280574,37.4,-0.1,-23.3
SABANETA -> MANIZALES,138,2901.897,21.02823913043478,38.2,0.07,16.4
MIRANDA -> BOGOTA D.C.,137,4644.0,33.8978102189781,141.9,1.67,394.9
SOPO -> ACACIAS,136,4263.19,31.346985294117644,27.3,0.05,11.9
PALMAR DE VARELA -> MEDELLIN,135,4459.545,33.03366666666667,94.1,0.98,235.2
MADRID -> MAICAO,135,2355.389,17.447325925925927,61.1,0.5,120.0
SOACHA -> COTA,134,3121.505,23.29481343283582,30.6,-0.13,-31.4
MADRID -> FLORENCIA,134,2420.543,18.063753731343283,49.5,-0.2,-48.4
GIRARDOTA -> MANIZALES,134,782.715,5.841156716417911,25.3,-0.18,-43.5
SONSON -> DOSQUEBRADAS,132,4488.0,34.0,76.0,0.69,169.4
MADRID -> SINCELEJO,130,1929.867,14.845130769230769,32.1,0.04,10.0
SOACHA -> YOPAL,130,1791.139,13.777992307692307,16.8,0.05,12.5
SABANETA -> ARMENIA,129,1790.396,13.879038759689923,38.4,0.15,37.7
SOPO -> BUENAVENTURA,129,3854.343,29.878627906976742,79.7,-0.52,-130.6
SOPO -> SINCELEJO,129,2839.057,22.00819379844961,47.2,-0.15,-37.7
GIRARDOTA -> LA ESTRELLA,129,1021.163,7.9159922480620155,36.2,-0.07,-17.6
CALDAS -> BELLO,126,1137.776,9.029968253968255,31.0,0.12,30.9
RIONEGRO -> DOSQUEBRADAS,124,1985.56,16.01258064516129,34.8,0.14,36.6
SOPO -> FLORENCIA,124,3908.42,31.519516129032258,52.7,-0.13,-34.0
RIONEGRO -> LA CEJA,123,500.799,4.071536585365854,45.5,0.3,79.0
SOPO -> MANIZALES,123,2518.713,20.477341463414636,46.9,0.02,5.3
RIONEGRO -> CUCUTA,122,2140.661,17.546401639344264,26.6,0.05,13.3
MADRID -> GIRON,122,1321.639,10.833106557377048,62.3,0.38,100.9
GIRARDOTA -> CARTAGO,121,621.82,5.13900826446281,36.0,-0.2,-53.6
GIRARDOTA -> BUENAVENTURA,120,1247.549,10.396241666666667,52.7,-0.39,-105.3
CALDAS -> CALI,120,959.151,7.992925,25.2,0.06,16.2
SOPO -> SANTA MARTA,120,2822.441,23.520341666666663,80.2,0.13,35.1
SABANETA -> COPACABANA,120,750.279,6.252325,29.6,-0.16,-43.2
MADRID -> SAN ANTONIO DEL TEQUENDAM,119,1135.0,9.53781512605042,18.1,0.01,2.7
SOPO -> CHIA,118,1059.568,8.979389830508474,49.7,0.17,46.7
SONSON -> NEIVA,117,3945.0,33.717948717948715,69.1,-0.5,-138.5
SANTA MARTA -> SANTA MARTA,116,516.064,4.448827586206896,111.9,1.08,301.7
EL CERRITO -> BOGOTA D.C.,115,3908.786,33.98944347826087,101.7,-0.25,-70.4
RIONEGRO -> GIRARDOTA,113,389.772,3.449309734513274,50.6,-0.07,-20.1
SOPO -> DOSQUEBRADAS,112,1595.045,14.241473214285715,55.0,-0.13,-37.6
SOPO -> MALAMBO,111,3392.504,30.563099099099098,37.4,-0.13,-37.9
MADRID -> PITALITO,110,1763.864,16.035127272727273,37.6,-0.13,-38.3
MADRID -> FACATATIVA,110,646.749,5.879536363636364,37.6,-0.03,-8.8
SOACHA -> CHIA,109,802.403,7.361495412844037,44.4,-0.2,-59.4
FUNZA -> FUNZA,109,132.629,1.2167798165137613,87.7,-0.03,-8.9
SABANETA -> AMAGA,107,836.0,7.813084112149533,79.0,0.15,45.4
SONSON -> ITAGUI,107,3607.2,33.71214953271028,123.5,-0.04,-12.1
SOACHA -> GIRARDOT,107,1381.589,12.912046728971962,43.7,0.2,60.6
CALDAS -> MEDELLIN,106,302.124,2.85022641509434,34.9,0.02,6.1
SOPO -> MONTERIA,106,2151.912,20.30105660377358,34.9,0.07,21.4
SOPO -> FACATATIVA,105,1044.687,9.949399999999999,48.9,-0.12,-37.0
MADRID -> PEREIRA,104,1501.429,14.436817307692309,44.2,0.04,12.5
MADRID -> LA ESTRELLA,104,1313.485,12.62966346153846,33.3,-0.19,-59.2
GIRARDOTA -> SABANAGRANDE,103,3139.532,30.480893203883497,77.6,-0.7,-220.2
RIONEGRO -> SINCELEJO,103,1248.481,12.121174757281553,30.4,-0.03,-9.4
MADRID -> LA MESA,103,934.5409999999999,9.073213592233008,50.1,0.38,119.5
SOPO -> PITALITO,101,3071.696,30.412831683168317,45.4,0.02,6.4
SOPO -> COTA,99,1316.557,13.298555555555556,45.5,-0.07,-22.9
MADRID -> CHIA,98,602.925,6.152295918367346,60.8,0.32,105.8
GIRARDOTA -> MONTERIA,98,536.755,5.477091836734694,30.4,0.17,56.2
GIRARDOTA -> VALLEDUPAR,97,538.54,5.551958762886597,36.1,0.01,3.3
MANIZALES -> MADRID,96,819.5,8.536458333333334,52.2,-0.05,-16.9
PUERTO TEJADA -> BOGOTA D.C.,96,2100.736,21.882666666666665,71.0,-0.14,-47.3
SOPO -> GIRARDOT,94,1572.0049999999999,16.72345744680851,45.3,0.06,20.7
MADRID -> POPAYAN,94,2978.031,31.68118085106383,39.2,0.25,86.2
GIRARDOTA -> RIOHACHA,94,468.031,4.979053191489362,34.5,-0.18,-62.0
MADRID -> UBAQUE,93,882.0,9.483870967741936,21.3,-0.02,-7.0
GIRARDOTA -> DOSQUEBRADAS,93,532.203,5.722612903225806,37.1,-0.2,-69.7
YUMBO -> CANDELARIA,93,706.931,7.6014086021505385,52.0,0.11,38.3
YUMBO -> SABANETA,92,2873.308,31.231608695652174,145.0,0.65,228.9
ENVIGADO -> BUCARAMANGA,92,1840.218,20.002369565217393,72.2,-0.04,-14.1
SOACHA -> SOACHA,92,842.096,9.153217391304349,63.6,0.34,119.7
MADRID -> CARTAGO,91,1487.677,16.3480989010989,41.5,0.09,32.0
SOPO -> APARTADO,91,2839.858,31.207230769230772,28.4,0.02,7.1
ENVIGADO -> RIONEGRO,90,277.898,3.087755555555556,47.5,0.15,54.0
ENVIGADO -> BOGOTA D.C.,89,752.991,8.460573033707865,132.3,-0.56,-203.9
MADRID -> BARBOSA,88,816.658,9.280204545454545,39.6,0.21,77.3
SOACHA -> PITALITO,88,2286.869,25.987147727272728,35.7,0.05,18.4
GIRARDOTA -> JAMUNDI,87,434.223,4.9910689655172416,50.8,-0.14,-52.1
